,Candidate Name,Party,Criminal Cases,Education,Age,Assets,Liabilities,District,Election,EduRank
119,Naru Gopal Mukherjee,AITC,0,Graduate,41,"Rs 2,45,67,043 ~ 2 Crore+","Rs 14,21,919 ~ 14 Lacs+",MURSHIDABAD,WestBengal2021,7
120,Nasir Saikh,IND,3,8th Pass,43,"Rs 2,90,55,544 ~ 2 Crore+","Rs 50,83,373 ~ 50 Lacs+",MURSHIDABAD,WestBengal2021,0
121,Nasrin Naher Lucy,SUCI(C),0,Post Graduate,35,"Rs 3,53,116 ~ 3 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
122,Neajuddin Sk,INC,3,12th Pass,43,"Rs 46,19,370 ~ 46 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
123,Niamot Sheikh,AITC,1,8th Pass,70,"Rs 2,51,84,756 ~ 2 Crore+","Rs 9,93,268 ~ 9 Lacs+",MURSHIDABAD,WestBengal2021,0
124,Nure Mahaboob Alam,All India Majlis-E-Ittehadul Muslimeen,2,10th Pass,38,"Rs 2,06,87,204 ~ 2 Crore+","Rs 34,64,878 ~ 34 Lacs+",MURSHIDABAD,WestBengal2021,0
125,Pradip Kumar Nandi,Revolutionary Socialist Party,0,Graduate Professional,73,"Rs 89,20,906 ~ 89 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
126,Rabiul Alam,SUCI(C),0,Graduate,46,"Rs 3,84,581 ~ 3 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
127,Rabiul Alam Chowdhury,AITC,1,Graduate,61,"Rs 1,43,37,361 ~ 1 Crore+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
128,Rafika Sultana,IND,0,Post Graduate,27,"Rs 74,08,775 ~ 74 Lacs+","Rs 12,75,000 ~ 12 Lacs+",MURSHIDABAD,WestBengal2021,0
129,Rafikul Islam,IND,0,8th Pass,32,"Rs 49,500 ~ 49 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
130,Rejaul Karim Sk,IUML,0,Graduate,59,"Rs 5,41,500 ~ 5 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,7
131,Rekha Roy,Bahujan Mukti Party,0,12th Pass,30,"Rs 32,311 ~ 32 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
132,Ruliya Parvin,BSP,0,12th Pass,38,"Rs 40,000 ~ 40 Thou+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
133,Safiujjaman Seikh,INC,0,12th Pass,63,"Rs 86,04,902 ~ 86 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
134,Safiur Rahaman Mandal,IND,0,8th Pass,38,"Rs 14,03,576 ~ 14 Lacs+",Rs 0 ~,MURSHIDABAD,WestBengal2021,0
